Category,False,True
Geography,0.1283737615305774,0.8716262384694227
Science,0.1459371884346959,0.8540628115653041
People,0.21325499896928468,0.7867450010307153
Countries,0.08880765509085045,0.9111923449091496
History,0.18437324339516584,0.8156267566048342
Everyday_life,0.18482601254991443,0.8151739874500855
Citizenship,0.17297297297297298,0.827027027027027
Design_and_Technology,0.17187948350071736,0.8281205164992826
Language_and_literature,0.20519930675909878,0.7948006932409012
Religion,0.18217221981826048,0.8178277801817395
