Source,Target
Military_dictatorship,Government
Turkish_Republic_of_Northern_Cyprus,Spain
Belgium,Israel
Cape_Verde,Greece
Orkney,North_America
Americium,Hydrogen
Ununoctium,Hydrogen
Japan,Judaism
Republic_of_the_Congo,India
"Newark,_New_Jersey",London
Basel,Europe
Italy,Venezuela
Brussels,Portugal
Egypt,Rome
Linguistics,Latin
Amsterdam,Belgium
British_Indian_Ocean_Territory,Russia
Nottingham,Scotland
Bermuda,Scotland
Palau,Israel
India,Ancient_Greece
Volga_River,United_Kingdom
European_Kingfisher,United_Kingdom
Arctic,India
Global_city,Russia
Promethium,Hydrogen
Equatorial_Guinea,North_America
Minnesota,Chicago
Rugby_football,United_States
England,Uganda
Antarctic_Treaty_System,North_America
Equatorial_Guinea,Belgium
Falkland_Islands,Oceania
Poland,Canada
William_II_of_England,British_Isles
Uruguay,Africa
"Atlanta,_Georgia",India
France,Santorini
Palestinian_territories,Russia
Coronation_Street,London
Neon,Electricity
Commonwealth_Games,Tourism
Florida,California
Pitcairn_Islands,France
Lithium,Nitrogen
United_Kingdom,Henry_IV_of_England
Genoa,China
Germany,Global_city
France,Nationalism
Monarchy,Egypt
Astatine,Copper
Nazi_Germany,England
Portugal,New_Zealand
Belarus,Switzerland
Middle_Ages,Ancient_Greece
France,Global
Mongolia,Islam
Iran,Poland
Botswana,Netherlands
